|------------|-----------------------------------------------------------------------------------|------------|-----|---------------------|-----------|-----------------|---------------|---------------|---------------|----------------|-----------------|---------------|--------------|------------|------------|----------|-----------|---------|
| dt         | weather                                                                           | visibility | pop | dt_txt              | main.temp | main.feels_like | main.temp_min | main.temp_max | main.pressure | main.sea_level | main.grnd_level | main.humidity | main.temp_kf | clouds.all | wind.speed | wind.deg | wind.gust | sys.pod |
|------------|-----------------------------------------------------------------------------------|------------|-----|---------------------|-----------|-----------------|---------------|---------------|---------------|----------------|-----------------|---------------|--------------|------------|------------|----------|-----------|---------|
| 1740139200 | [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]    |      10000 |   0 | 2025-02-21 12:00:00 |    272.39 |          269.22 |        269.56 |        272.39 |          1040 |           1040 |            1019 |            50 |         2.83 |         60 |       2.51 |      268 |      4.44 | d       |
|------------|-----------------------------------------------------------------------------------|------------|-----|---------------------|-----------|-----------------|---------------|---------------|---------------|----------------|-----------------|---------------|--------------|------------|------------|----------|-----------|---------|
| 1740150000 | [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]    |      10000 |   0 | 2025-02-21 15:00:00 |    270.61 |          267.54 |        267.05 |        270.61 |          1040 |           1040 |            1019 |            63 |         3.56 |         66 |       2.15 |      248 |      5.89 | n       |
|------------|-----------------------------------------------------------------------------------|------------|-----|---------------------|-----------|-----------------|---------------|---------------|---------------|----------------|-----------------|---------------|--------------|------------|------------|----------|-----------|---------|
| 1740160800 | [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]    |      10000 |   0 | 2025-02-21 18:00:00 |    268.19 |          264.24 |        266.09 |        268.19 |          1040 |           1040 |            1019 |            76 |          2.1 |         65 |       2.51 |      261 |       7.4 | n       |
|------------|-----------------------------------------------------------------------------------|------------|-----|---------------------|-----------|-----------------|---------------|---------------|---------------|----------------|-----------------|---------------|--------------|------------|------------|----------|-----------|---------|
| 1740171600 | [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]  |      10000 |   0 | 2025-02-21 21:00:00 |    265.95 |          261.89 |        265.95 |        265.95 |          1040 |           1040 |            1019 |            91 |          0.0 |        100 |       2.28 |      260 |      6.47 | n       |
|------------|-----------------------------------------------------------------------------------|------------|-----|---------------------|-----------|-----------------|---------------|---------------|---------------|----------------|-----------------|---------------|--------------|------------|------------|----------|-----------|---------|
| 1740182400 | [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]  |      10000 |   0 | 2025-02-22 00:00:00 |    265.99 |          261.87 |        265.99 |        265.99 |          1040 |           1040 |            1019 |            91 |          0.0 |        100 |       2.33 |      275 |      7.06 | n       |
|------------|-----------------------------------------------------------------------------------|------------|-----|---------------------|-----------|-----------------|---------------|---------------|---------------|----------------|-----------------|---------------|--------------|------------|------------|----------|-----------|---------|
| 1740193200 | [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]  |      10000 |   0 | 2025-02-22 03:00:00 |    264.95 |          261.31 |        264.95 |        264.95 |          1039 |           1039 |            1018 |            94 |          0.0 |         89 |        1.9 |      260 |      5.81 | n       |
